Player,Team,POS,ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
J.K. Dobbins,DEN,RB32,148.4,657.8,4.9,29.2,187.9,1.2,1.2,118.9
Keon Coleman,BUF,WR40,0.3,3.8,0,52.4,822.5,6.1,0.5,118.3
Chris Olave,NO,WR41,0.3,2.8,0,75.6,935.9,4.4,1.3,117.6
Javonte Williams,DAL,RB33,174.9,645.7,4.2,35.9,229.1,1.1,0.9,117.4
Mark Andrews,BAL,TE4,0,2,0,59.9,721,7.8,0.8,117.3
Rashee Rice,KC,WR42,1.1,4.3,0,70.4,821,5.9,0.6,116.8
Stefon Diggs,NE,WR43,1.3,6.9,0.2,77.4,850.5,5.1,0.5,116.8
Jordan Mason,MIN,RB34,160.4,739.8,4.4,17.4,127.1,0.7,0.7,116.3
Sam LaPorta,DET,TE5,0,0,0,67.9,763.9,6.7,0.4,115.6
Ricky Pearsall,SF,WR44,7,50,0.3,58.2,789.9,5,0.6,114.6
Cooper Kupp,SEA,WR45,1.3,8.9,0,73.3,818.5,5.4,0.6,113.9
Rashid Shaheed,NO,WR46,7.3,44.5,0.1,56.4,846,4.4,1.3,113.8
Rhamondre Stevenson,NE,RB35,156.7,636.8,4.8,28,177.2,1.1,1.5,113.5
Travis Etienne Jr.,JAC,RB36,141.1,577.1,3.7,37.6,277.5,1.2,0.9,112.6
Darnell Mooney,ATL,WR47,0,1.2,0,60.4,844.3,4.8,0.5,112.5
Jordan Addison,MIN,WR48,0.9,8.9,0.2,58.7,762.3,5.8,0.4,112.4
Austin Ekeler,WAS,RB37,95.3,414.8,4.1,44.9,367,1.8,1,111.2
Khalil Shakir,BUF,WR49,0.3,3,0,71.7,812.5,4.9,0.6,109.9
Zach Charbonnet,SEA,RB38,126.7,536,4.5,33.2,244.8,0.9,0.8,108.8
Quinshon Judkins,CLE,RB39,151.9,641.5,4,22.4,169.7,0.9,1.2,108.2
Michael Pittman Jr.,IND,WR50,0,1.8,0,71.9,852.5,4,0.9,107.3
